n,d,trial,time_ms,peak_mem_MB
128,64,0,0.020479999482631683,8.40625
128,64,1,0.020479999482631683,8.40625
128,64,2,0.020576000213623047,8.40625
128,64,3,0.021503999829292297,8.40625
128,64,4,0.020479999482631683,8.40625
128,64,5,0.02054399996995926,8.40625
128,64,6,0.02051199972629547,8.40625
128,64,7,0.020479999482631683,8.40625
128,64,8,0.02038400061428547,8.40625
128,64,9,0.02051199972629547,8.40625
256,64,0,0.03372799977660179,8.9375
256,64,1,0.03276799991726875,8.9375
256,64,2,0.03276799991726875,8.9375
256,64,3,0.03267199918627739,8.9375
256,64,4,0.03299200162291527,8.9375
256,64,5,0.03270399942994118,8.9375
256,64,6,0.03311999887228012,8.9375
256,64,7,0.03276799991726875,8.9375
256,64,8,0.03276799991726875,8.9375
256,64,9,0.03251200169324875,8.9375
512,64,0,0.0634239986538887,10.75
512,64,1,0.06345599889755249,10.75
512,64,2,0.06329599767923355,10.75
512,64,3,0.06348799914121628,10.75
512,64,4,0.06348799914121628,10.75
512,64,5,0.06224000081419945,10.75
512,64,6,0.06348799914121628,10.75
512,64,7,0.0647680014371872,10.75
512,64,8,0.06300800293684006,10.75
512,64,9,0.062111999839544296,10.75
1024,64,0,0.18345600366592407,17.375
1024,64,1,0.1841599941253662,17.375
1024,64,2,0.18268799781799316,17.375
1024,64,3,0.18227200210094452,17.375
1024,64,4,0.18272000551223755,17.375
1024,64,5,0.18432000279426575,17.375
1024,64,6,0.1839040070772171,17.375
1024,64,7,0.18291200697422028,17.375
1024,64,8,0.18355199694633484,17.375
1024,64,9,0.1841599941253662,17.375
2048,64,0,0.7233279943466187,42.625
2048,64,1,0.7229440212249756,42.625
2048,64,2,0.7229120135307312,42.625
2048,64,3,0.8894400000572205,42.625
2048,64,4,0.72079998254776,42.625
2048,64,5,0.7206079959869385,42.625
2048,64,6,0.7207040190696716,42.625
2048,64,7,0.7222080230712891,42.625
2048,64,8,0.720736026763916,42.625
2048,64,9,0.7222080230712891,42.625
