n,P,d,T1_ms,Tp_ms,speedup,efficiency,max_abs_error,worker_mem_MB
128,1,256,0.2462,0.8478,0.2904,0.2904,0.00e+00,0.000229
128,2,256,0.2462,0.8499,0.2897,0.1448,0.00e+00,0.000229
128,4,256,0.2462,1.2671,0.1943,0.0486,0.00e+00,0.000229
128,6,256,0.2462,1.8195,0.1353,0.0226,0.00e+00,0.000229
256,1,256,0.8834,1.6689,0.5294,0.5294,0.00e+00,0.000229
256,2,256,0.8834,1.2865,0.6867,0.3434,0.00e+00,0.000229
256,4,256,0.8834,1.4847,0.5951,0.1488,0.00e+00,0.000229
256,6,256,0.8834,1.9909,0.4437,0.074,0.00e+00,0.000229
512,1,256,3.4644,4.5086,0.7684,0.7684,0.00e+00,0.000229
512,2,256,3.4644,2.8371,1.2211,0.6106,0.00e+00,0.000229
512,4,256,3.4644,2.3214,1.4924,0.3731,0.00e+00,0.000229
512,6,256,3.4644,2.7313,1.2684,0.2114,0.00e+00,0.000229
1024,1,256,14.7417,16.3086,0.9039,0.9039,0.00e+00,0.000229
1024,2,256,14.7417,8.9576,1.6457,0.8229,0.00e+00,0.000229
1024,4,256,14.7417,5.543,2.6595,0.6649,0.00e+00,0.000229
1024,6,256,14.7417,5.9923,2.4601,0.41,0.00e+00,0.000229
2048,1,256,63.4419,64.473,0.984,0.984,0.00e+00,0.000229
2048,2,256,63.4419,38.3955,1.6523,0.8262,0.00e+00,0.000229
2048,4,256,63.4419,20.9685,3.0256,0.7564,0.00e+00,0.000229
2048,6,256,63.4419,23.2017,2.7344,0.4557,0.00e+00,0.000229
