n,P,T1_ms,Tp_ms,S_P,eta_P
128,1,0.2462,0.8478,0.2904,0.2904
128,2,0.2462,0.8499,0.2897,0.1448
128,4,0.2462,1.2671,0.1943,0.0486
128,6,0.2462,1.8195,0.1353,0.0226
256,1,0.8834,1.6689,0.5294,0.5294
256,2,0.8834,1.2865,0.6867,0.3434
256,4,0.8834,1.4847,0.5951,0.1488
256,6,0.8834,1.9909,0.4437,0.074
512,1,3.4644,4.5086,0.7684,0.7684
512,2,3.4644,2.8371,1.2211,0.6106
512,4,3.4644,2.3214,1.4924,0.3731
512,6,3.4644,2.7313,1.2684,0.2114
1024,1,14.7417,16.3086,0.9039,0.9039
1024,2,14.7417,8.9576,1.6457,0.8229
1024,4,14.7417,5.543,2.6595,0.6649
1024,6,14.7417,5.9923,2.4601,0.41
2048,1,63.4419,64.473,0.984,0.984
2048,2,63.4419,38.3955,1.6523,0.8262
2048,4,63.4419,20.9685,3.0256,0.7564
2048,6,63.4419,23.2017,2.7344,0.4557
